ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2019-03-02,VA2048854528,174376,2906.8435,2046.3457,582.3909
2019-03-03,VA2048854528,174376,2902.3577,2066.478,577.5949
2019-03-04,VA2048854528,174376,2896.3540000000007,2002.6942,563.92786
2019-03-05,VA2048854528,174376,2890.0490000000004,2043.4509,537.87115
2019-03-06,VA2048854528,174376,2886.3223,2050.0,545.3792
2019-03-07,VA2048854528,174376,2882.934,1949.3785,562.4815
2019-03-08,VA2048854528,174376,2881.7227,2082.003,571.7803299999998
2019-03-09,VA2048854528,174376,2881.9685,2109.2832,551.1049
2019-03-10,VA2048854528,174376,2877.5840000000007,2062.481,556.94275
2019-03-11,VA2048854528,174376,2863.3223,2045.3464,519.6476
2019-03-12,VA2048854528,174376,2856.0403,2032.1145,512.04333
2019-03-13,VA2048854528,174376,2850.4722,2019.174,511.8913
2019-03-14,VA2048854528,174376,2845.5017,2029.7664,533.9209599999998
2019-03-15,VA2048854528,174376,2841.0896,2080.398,568.1147
2019-03-16,VA2048854528,174376,2836.3508,2071.0947,604.00946
2019-03-17,VA2048854528,174376,2830.3540000000007,2126.0227,595.4480599999998
2019-03-18,VA2048854528,174376,2825.9026,2032.1372,589.0577400000002
2019-03-19,VA2048854528,174376,2819.6047,2072.1694,595.83466
2019-03-20,VA2048854528,174376,2814.3867,1965.7333,612.88446
2019-03-21,VA2048854528,174376,2808.949,1987.9907,635.0463
2019-03-22,VA2048854528,174376,2806.5754,1903.6438,646.1233
2019-03-23,VA2048854528,174376,2800.7444,1996.9962,623.3158
2019-03-24,VA2048854528,174376,2796.9885,2001.39,618.2548
2019-03-25,VA2048854528,174376,2791.1003,1971.5398,603.53973
2019-03-26,VA2048854528,174376,2786.7607,1937.9615,580.37177
2019-03-27,VA2048854528,174376,2780.9312,1993.4818,583.2834
2019-03-28,VA2048854528,174376,2778.1074,1975.285,598.64484
2019-03-29,VA2048854528,174376,2772.157,1996.1372,581.8039
2019-03-30,VA2048854528,174376,2768.9120000000007,2074.7659,593.2098
2019-03-31,VA2048854528,174376,2763.718,2069.6914,620.90955
2019-04-01,VA2048854528,174376,2758.5261,1937.1198,611.3489400000002
2019-04-02,VA2048854528,174376,2751.7612,1946.4115,596.1193
2019-04-03,VA2048854528,174376,2746.7559,1830.279,594.7325400000002
2019-04-04,VA2048854528,174376,2742.5796,1917.5187,554.8373
2019-04-05,VA2048854528,174376,2742.0,1990.4302,553.0073
2019-04-06,VA2048854528,174376,2742.0,1961.2924,557.01697
2019-04-07,VA2048854528,174376,2741.88,2085.8882,530.2458
2019-04-08,VA2048854528,174376,2738.8223,1936.237,622.1037
2019-04-10,VA2048854528,174376,2708.4695,2088.1020000000008,519.4898
